"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Wichita Urology Group ","KS","Healthcare Provider","5314","12/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Pan-American Life Insurance Group, Inc.","LA","Business Associate","94807","12/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Leggett & Platt Incorporated Employee Benefit Fund","MO","Health Plan","1200","12/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Pan-American Life Insurance Group, Inc.","LA","Health Plan","105387","12/04/2023","Hacking/IT Incident","Network Server","No",""
"EMS Management and Consultants Inc.","NC","Business Associate","2654","12/01/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Children’s Home of Wyoming Conference","NY","Healthcare Provider","1111","12/01/2023","Hacking/IT Incident","Network Server","No",""
"Neuromusculoskeletal Center of the Cascades, PC ","OR","Healthcare Provider","22328","12/01/2023","Hacking/IT Incident","Email","No",""
"Community Healthcare Network, Inc. ","NY","Healthcare Provider","500","11/30/2023","Hacking/IT Incident","Network Server","No",""
"F&E Aviation Holdings, Inc.","FL","Health Plan","3097","11/30/2023","Hacking/IT Incident","Network Server","No",""
"Fenway Community Health Center, Inc.","MA","Healthcare Provider","598","11/29/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Lakeview Healthcare System, LLC","FL","Healthcare Provider","2495","11/27/2023","Theft","Paper/Films","No",""
"Foursquare Healthcare, Ltd.","TX","Healthcare Provider","10890","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Inline Plastics Corp.","CT","Health Plan","4853","11/27/2023","Hacking/IT Incident","Network Server","No",""
"Equality Health, LLC","AZ","Healthcare Provider","9240","11/27/2023","Hacking/IT Incident","Email","No",""
"Oak Street Health","IL","Healthcare Provider","3238","11/24/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Montrose Behavioral Health Hospital, Inc.","IL","Healthcare Provider","597","11/24/2023","Hacking/IT Incident","Email","No",""
"Morrison Community Hospital District","IL","Healthcare Provider","122488","11/23/2023","Hacking/IT Incident","Network Server","No",""
"Molina Healthcare of Iowa, Inc.","IA","Business Associate","1647","11/22/2023","Hacking/IT Incident","Email","Yes",""
"Saisystems International, Inc. ","CT","Business Associate","10063","11/22/2023","Hacking/IT Incident","Network Server","Yes",""
